train| Epoch: 0/20 |Prob: 0.0780 |RC: 0.2330 |Func: 0.7808 |ACC: 0.9535 |Net: 0.83s
val| Epoch: 0/20 |Prob: 0.0740 |RC: 0.2293 |Func: 0.7772 |ACC: 0.9527 |Net: 0.81s
train| Epoch: 1/20 |Prob: 0.0553 |RC: 0.2090 |Func: 0.7927 |ACC: 0.8926 |Net: 0.80s
val| Epoch: 1/20 |Prob: 0.0543 |RC: 0.2076 |Func: 0.7949 |ACC: 0.8854 |Net: 0.80s
train| Epoch: 2/20 |Prob: 0.0461 |RC: 0.1990 |Func: 0.8163 |ACC: 0.8386 |Net: 0.79s
val| Epoch: 2/20 |Prob: 0.0457 |RC: 0.1983 |Func: 0.8176 |ACC: 0.8346 |Net: 0.79s
train| Epoch: 3/20 |Prob: 0.0411 |RC: 0.1935 |Func: 0.8306 |ACC: 0.8094 |Net: 0.78s
val| Epoch: 3/20 |Prob: 0.0409 |RC: 0.1931 |Func: 0.8314 |ACC: 0.8073 |Net: 0.78s
train| Epoch: 4/20 |Prob: 0.0379 |RC: 0.1902 |Func: 0.8396 |ACC: 0.7929 |Net: 0.78s
val| Epoch: 4/20 |Prob: 0.0378 |RC: 0.1899 |Func: 0.8401 |ACC: 0.7916 |Net: 0.78s
train| Epoch: 5/20 |Prob: 0.0356 |RC: 0.1879 |Func: 0.8458 |ACC: 0.7823 |Net: 0.78s
val| Epoch: 5/20 |Prob: 0.0356 |RC: 0.1877 |Func: 0.8461 |ACC: 0.7813 |Net: 0.78s
train| Epoch: 6/20 |Prob: 0.0339 |RC: 0.1861 |Func: 0.8505 |ACC: 0.7747 |Net: 0.78s
val| Epoch: 6/20 |Prob: 0.0339 |RC: 0.1860 |Func: 0.8508 |ACC: 0.7741 |Net: 0.78s
train| Epoch: 7/20 |Prob: 0.0326 |RC: 0.1848 |Func: 0.8542 |ACC: 0.7692 |Net: 0.78s
val| Epoch: 7/20 |Prob: 0.0325 |RC: 0.1847 |Func: 0.8544 |ACC: 0.7686 |Net: 0.78s
train| Epoch: 8/20 |Prob: 0.0315 |RC: 0.1837 |Func: 0.8572 |ACC: 0.7650 |Net: 0.79s
val| Epoch: 8/20 |Prob: 0.0315 |RC: 0.1836 |Func: 0.8573 |ACC: 0.7646 |Net: 0.78s
train| Epoch: 9/20 |Prob: 0.0306 |RC: 0.1829 |Func: 0.8596 |ACC: 0.7623 |Net: 0.78s
val| Epoch: 9/20 |Prob: 0.0306 |RC: 0.1828 |Func: 0.8597 |ACC: 0.7621 |Net: 0.78s
train| Epoch: 10/20 |Prob: 0.0298 |RC: 0.1821 |Func: 0.8617 |ACC: 0.7603 |Net: 0.79s
val| Epoch: 10/20 |Prob: 0.0298 |RC: 0.1821 |Func: 0.8618 |ACC: 0.7601 |Net: 0.78s
train| Epoch: 11/20 |Prob: 0.0292 |RC: 0.1815 |Func: 0.8634 |ACC: 0.7588 |Net: 0.78s
val| Epoch: 11/20 |Prob: 0.0292 |RC: 0.1815 |Func: 0.8634 |ACC: 0.7587 |Net: 0.78s
train| Epoch: 12/20 |Prob: 0.0286 |RC: 0.1810 |Func: 0.8646 |ACC: 0.7580 |Net: 0.78s
val| Epoch: 12/20 |Prob: 0.0286 |RC: 0.1809 |Func: 0.8647 |ACC: 0.7579 |Net: 0.78s
train| Epoch: 13/20 |Prob: 0.0281 |RC: 0.1805 |Func: 0.8656 |ACC: 0.7575 |Net: 0.78s
val| Epoch: 13/20 |Prob: 0.0281 |RC: 0.1805 |Func: 0.8656 |ACC: 0.7575 |Net: 0.78s
train| Epoch: 14/20 |Prob: 0.0276 |RC: 0.1801 |Func: 0.8663 |ACC: 0.7575 |Net: 0.78s
val| Epoch: 14/20 |Prob: 0.0277 |RC: 0.1801 |Func: 0.8662 |ACC: 0.7575 |Net: 0.78s
train| Epoch: 15/20 |Prob: 0.0273 |RC: 0.1798 |Func: 0.8667 |ACC: 0.7578 |Net: 0.78s
val| Epoch: 15/20 |Prob: 0.0273 |RC: 0.1797 |Func: 0.8667 |ACC: 0.7578 |Net: 0.78s
train| Epoch: 16/20 |Prob: 0.0269 |RC: 0.1795 |Func: 0.8669 |ACC: 0.7582 |Net: 0.78s
val| Epoch: 16/20 |Prob: 0.0269 |RC: 0.1794 |Func: 0.8669 |ACC: 0.7582 |Net: 0.78s
train| Epoch: 17/20 |Prob: 0.0266 |RC: 0.1792 |Func: 0.8669 |ACC: 0.7590 |Net: 0.78s
val| Epoch: 17/20 |Prob: 0.0266 |RC: 0.1792 |Func: 0.8669 |ACC: 0.7591 |Net: 0.78s
train| Epoch: 18/20 |Prob: 0.0263 |RC: 0.1789 |Func: 0.8669 |ACC: 0.7599 |Net: 0.78s
val| Epoch: 18/20 |Prob: 0.0263 |RC: 0.1789 |Func: 0.8668 |ACC: 0.7600 |Net: 0.78s
train| Epoch: 19/20 |Prob: 0.0260 |RC: 0.1787 |Func: 0.8667 |ACC: 0.7610 |Net: 0.78s
val| Epoch: 19/20 |Prob: 0.0260 |RC: 0.1787 |Func: 0.8666 |ACC: 0.7612 |Net: 0.78s
train| Epoch: 0/20 |Prob: 0.0300 |RC: 0.1753 |Func: 0.4016 |ACC: 0.9848 |Net: 0.80s
val| Epoch: 0/20 |Prob: 0.0310 |RC: 0.1752 |Func: 0.3895 |ACC: 0.9854 |Net: 0.79s
train| Epoch: 1/20 |Prob: 0.0315 |RC: 0.1750 |Func: 0.3232 |ACC: 0.9838 |Net: 0.79s
val| Epoch: 1/20 |Prob: 0.0320 |RC: 0.1750 |Func: 0.3177 |ACC: 0.9834 |Net: 0.79s
train| Epoch: 2/20 |Prob: 0.0317 |RC: 0.1749 |Func: 0.2763 |ACC: 0.9808 |Net: 0.80s
val| Epoch: 2/20 |Prob: 0.0320 |RC: 0.1749 |Func: 0.2725 |ACC: 0.9805 |Net: 0.79s
train| Epoch: 3/20 |Prob: 0.0314 |RC: 0.1748 |Func: 0.2450 |ACC: 0.9789 |Net: 0.79s
val| Epoch: 3/20 |Prob: 0.0315 |RC: 0.1748 |Func: 0.2424 |ACC: 0.9788 |Net: 0.79s
train| Epoch: 4/20 |Prob: 0.0310 |RC: 0.1747 |Func: 0.2227 |ACC: 0.9778 |Net: 0.79s
val| Epoch: 4/20 |Prob: 0.0311 |RC: 0.1747 |Func: 0.2208 |ACC: 0.9778 |Net: 0.79s
train| Epoch: 5/20 |Prob: 0.0305 |RC: 0.1747 |Func: 0.2064 |ACC: 0.9772 |Net: 0.79s
val| Epoch: 5/20 |Prob: 0.0306 |RC: 0.1747 |Func: 0.2050 |ACC: 0.9771 |Net: 0.79s
train| Epoch: 6/20 |Prob: 0.0300 |RC: 0.1746 |Func: 0.1936 |ACC: 0.9766 |Net: 0.79s
val| Epoch: 6/20 |Prob: 0.0301 |RC: 0.1746 |Func: 0.1924 |ACC: 0.9766 |Net: 0.79s
train| Epoch: 7/20 |Prob: 0.0296 |RC: 0.1746 |Func: 0.1830 |ACC: 0.9765 |Net: 0.79s
val| Epoch: 7/20 |Prob: 0.0297 |RC: 0.1746 |Func: 0.1820 |ACC: 0.9764 |Net: 0.78s
train| Epoch: 8/20 |Prob: 0.0293 |RC: 0.1746 |Func: 0.1738 |ACC: 0.9765 |Net: 0.78s
